1		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
10		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
20		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
30		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
40		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
50		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
60		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
70		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
80		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
90		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
100		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
110		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
120		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
130		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
140		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
150		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
160		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
170		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
180		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
190		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
200		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
210		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.105	0	0	0	1
220		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.10632	0	0	0	1
230		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.111436	0	0	0	1
240		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.119985	0	0	0	1
250		1	0	-5.06865e-17	0.00949046	0	1	0	-0.095	5.06865e-17	0	1	0.131513	0	0	0	1
260		1	0	-5.06865e-17	0.00949046	0	1	0	-0.0955184	5.06865e-17	0	1	0.145569	0	0	0	1
270		1	0	-5.06865e-17	0.00949046	0	1	0	-0.0972034	5.06865e-17	0	1	0.161702	0	0	0	1
280		1	0	-5.06865e-17	0.00949046	0	1	0	-0.099884	5.06865e-17	0	1	0.179461	0	0	0	1
290		1	0	-5.06865e-17	0.00949046	0	1	0	-0.103382	5.06865e-17	0	1	0.198393	0	0	0	1
300		1	0	-5.06865e-17	0.00967801	0	1	0	-0.107521	5.06865e-17	0	1	0.218048	0	0	0	1
310		1	0	-5.06865e-17	0.0103198	0	1	0	-0.112121	5.06865e-17	0	1	0.237974	0	0	0	1
320		1	0	-5.06865e-17	0.011374	0	1	0	-0.117006	5.06865e-17	0	1	0.257719	0	0	0	1
330		1	0	-5.06865e-17	0.0127953	0	1	0	-0.121998	5.06865e-17	0	1	0.276832	0	0	0	1
340		1	0	-5.06865e-17	0.0145385	0	1	0	-0.126919	5.06865e-17	0	1	0.294862	0	0	0	1
350		1	0	-5.06865e-17	0.0165581	0	1	0	-0.13159	5.06865e-17	0	1	0.311356	0	0	0	1
360		1	0	-5.06865e-17	0.0188089	0	1	0	-0.135835	5.06865e-17	0	1	0.325864	0	0	0	1
370		1	0	-5.06865e-17	0.0212456	0	1	0	-0.139476	5.06865e-17	0	1	0.337934	0	0	0	1
380		1	0	-5.06865e-17	0.0238227	0	1	0	-0.142334	5.06865e-17	0	1	0.347114	0	0	0	1
390		1	0	-5.06865e-17	0.0264951	0	1	0	-0.144233	5.06865e-17	0	1	0.352953	0	0	0	1
400		1	0	-5.06865e-17	0.0292172	0	1	0	-0.144993	5.06865e-17	0	1	0.355	0	0	0	1
410		1	0	-5.06865e-17	0.0331785	0	1	0	-0.144589	5.06865e-17	0	1	0.353986	0	0	0	1
420		1	0	-5.06865e-17	0.0405915	0	1	0	-0.143013	5.06865e-17	0	1	0.349237	0	0	0	1
430		1	0	-5.06865e-17	0.0509584	0	1	0	-0.140424	5.06865e-17	0	1	0.341012	0	0	0	1
440		1	0	-5.06865e-17	0.0637006	0	1	0	-0.136999	5.06865e-17	0	1	0.329761	0	0	0	1
450		1	0	-5.06865e-17	0.0782393	0	1	0	-0.132917	5.06865e-17	0	1	0.315937	0	0	0	1
460		1	0	-5.06865e-17	0.0939959	0	1	0	-0.128355	5.06865e-17	0	1	0.299992	0	0	0	1
470		1	0	-5.06865e-17	0.110392	0	1	0	-0.12349	5.06865e-17	0	1	0.282375	0	0	0	1
480		1	0	-5.06865e-17	0.126848	0	1	0	-0.118501	5.06865e-17	0	1	0.26354	0	0	0	1
